datum;teplota
2022-01-01;10,2
2022-01-02;8,2
2022-01-03;8,0
2022-01-04;7,0
2022-01-05;2,8
2022-01-06;-0,7
2022-01-07;-0,8
2022-01-08;0,6
2022-01-09;1,8
2022-01-10;2,0
2022-01-11;-2,0
2022-01-12;-1,3
2022-01-13;1,1
2022-01-14;4,1
2022-01-15;0,6
2022-01-16;-0,4
2022-01-17;2,8
2022-01-18;0,7
2022-01-19;1,7
2022-01-20;0,2
2022-01-21;-1,3
2022-01-22;1,6
2022-01-23;3,3
2022-01-24;3,0
2022-01-25;2,2
2022-01-26;1,1
2022-01-27;1,1
2022-01-28;3,2
2022-01-29;4,4
2022-01-30;4,5
2022-01-31;1,9
2022-02-01;1,8
2022-02-02;3,8
2022-02-03;4,2
2022-02-04;6,5
2022-02-05;2,8
2022-02-06;5,4
2022-02-07;3,5
2022-02-08;5,3
2022-02-09;7,2
2022-02-10;7,7
2022-02-11;4,4
2022-02-12;1,7
2022-02-13;3,1
2022-02-14;2,5
2022-02-15;5,0
2022-02-16;7,8
2022-02-17;8,2
2022-02-18;7,9
2022-02-19;4,8
2022-02-20;7,6
2022-02-21;6,8
2022-02-22;5,4
2022-02-23;5,9
2022-02-24;7,4
2022-02-25;3,3
2022-02-26;3,0
2022-02-27;1,7
2022-02-28;-1,3
2022-03-01;-0,4
2022-03-02;-0,7
2022-03-03;1,2
2022-03-04;-0,4
2022-03-05;0,9
2022-03-06;-1,1
2022-03-07;1,3
2022-03-08;2,7
2022-03-09;4,0
2022-03-10;1,2
2022-03-11;0,9
2022-03-12;2,5
2022-03-13;5,0
2022-03-14;5,7
2022-03-15;6,0
2022-03-16;8,4
2022-03-17;8,4
2022-03-18;7,3
2022-03-19;4,3
2022-03-20;5,8
2022-03-21;6,3
2022-03-22;8,9
2022-03-23;9,6
2022-03-24;10,0
2022-03-25;8,8
2022-03-26;11,8
2022-03-27;11,0
2022-03-28;12,3
2022-03-29;9,4
2022-03-30;5,6
2022-03-31;3,6
2022-04-01;1,5
2022-04-02;2,3
2022-04-03;0,0
